2026-06-28 18:42:44 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@4b094115]]
2026-06-28 18:42:44 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-06-28 18:42:44 [main] INFO  p.e.p.z.ZwinneBackEndApplication - Started ZwinneBackEndApplication in 10.953 seconds (process running for 11.75)
2026-06-28 18:42:44 [main] INFO  p.e.p.z.c.DatabaseMigrationConfig - Running database migration: dropping NOT NULL constraint on wiadomosc_chat.nadawca_id
2026-06-28 18:42:44 [main] INFO  p.e.p.z.c.DatabaseMigrationConfig - Database migration completed successfully.
2026-06-28 18:42:44 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-28 18:42:44 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-28 18:42:44 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2026-06-28 18:42:44 [http-nio-8080-exec-2] ERROR p.e.p.z.s.JwtAuthenticationEntryPoint - Nieautoryzowany dostęp: Full authentication is required to access this resource
2026-06-28 18:42:44 [http-nio-8080-exec-2] ERROR p.e.p.z.s.JwtAuthenticationEntryPoint - Nieautoryzowany dostęp: Full authentication is required to access this resource
2026-06-28 18:42:46 [http-nio-8080-exec-8] WARN  o.s.d.w.c.SpringDataJacksonConfiguration$PageModule$PlainPageSerializationWarning - Serializing PageImpl instances as-is is not supported, meaning that there is no guarantee about the stability of the resulting JSON structure!
	For a stable JSON structure, please use Spring Data's PagedModel (globally via @EnableSpringDataWebSupport(pageSerializationMode = VIA_DTO))
	or Spring HATEOAS and Spring Data's PagedResourcesAssembler as documented in https://docs.spring.io/spring-data/commons/reference/repositories/core-extensions.html#core.web.pageables.

2026-06-28 18:42:46 [http-nio-8080-exec-2] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 0, SQLState: 23503
2026-06-28 18:42:46 [http-nio-8080-exec-2] ERROR o.h.e.jdbc.spi.SqlExceptionHelper - ERROR: update or delete on table "projekt" violates foreign key constraint "fk52x2luv89ix1xwyvquutuwng6" on table "wiadomosc_chat"
  Szczegóły: Key (id)=(3) is still referenced from table "wiadomosc_chat".
2026-06-28 18:44:27 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-28 18:44:27 [Test worker] INFO  p.e.p.z.AuthControllerTest - Starting AuthControllerTest using Java 17.0.12 with PID 24536 (started by PIOTR in C:\ReactAppAgileTeam\ZwinneBackEnd)
2026-06-28 18:44:27 [Test worker] DEBUG p.e.p.z.AuthControllerTest - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-06-28 18:44:27 [Test worker] INFO  p.e.p.z.AuthControllerTest - The following 1 profile is active: "test"
2026-06-28 18:44:30 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-28 18:44:30 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 169 ms. Found 7 JPA repository interfaces.
2026-06-28 18:44:32 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-06-28 18:44:32 [Test worker] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2026-06-28 18:44:32 [Test worker] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-06-28 18:44:33 [Test worker] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-28 18:44:33 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-28 18:44:34 [Test worker] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:testdb user=SA
2026-06-28 18:44:34 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-28 18:44:34 [Test worker] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-06-28 18:44:37 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
